scope,itemId,tcg,name,edition,language,variant,quantity,unitPurchaseValue,status,source,pricingMode,marketUnit,marketTotal,deltaTotal,recoveryRate,matchConfidence,matchReason,productId,productName,productKind,categoryName,productUrl,listingLanguage,listingCondition,liveSampleSize,liveValidListings,liveRawListings,liveLow,scrapeSampleSize,scrapeValidListings,scrapeRawListings,scrapeLow,scrapeProductUrl,scrapeStatus,scrapeReason,fallbackPriceGuideUnit,fallbackUsed,fallbackReason,scryfallResolverStatus,scryfallCardmarketId,scryfallSet,scryfallCollectorNumber,riftboundImageStatus,riftboundImageCode,riftboundExpectedExpansions,riftboundVersionTarget,riftboundImageHeuristic,candidate1Id,candidate1Name,candidate1Score,candidate1Price,candidate1FoilPrice,candidate1Url,candidate2Id,candidate2Name,candidate2Score,candidate2Price,candidate2FoilPrice,candidate2Url,candidate3Id,candidate3Name,candidate3Score,candidate3Price,candidate3FoilPrice,candidate3Url,candidate4Id,candidate4Name,candidate4Score,candidate4Price,candidate4FoilPrice,candidate4Url,candidate5Id,candidate5Name,candidate5Score,candidate5Price,candidate5FoilPrice,candidate5Url
collection,stock-magic-the-gathering-badgermole-cub-magic-the-gathering-avatar-the-last-airbender-ingles-nonfoil,Magic The Gathering,Badgermole Cub,Magic: The Gathering | Avatar: The Last Airbender,Inglés,Non-foil,4.0,60.45,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,57.13,228.52,-13.28,94.51,102.0,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,855720,Badgermole Cub,single,Magic Single,https://www.cardmarket.com/en/Magic/Products?idProduct=855720&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,english,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Magic/Products?idProduct=855720&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,57.13,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,resolved,855720,tla,167,,,,,,855720,Badgermole Cub,102.0,57.13,57.13,https://www.cardmarket.com/en/Magic/Products?idProduct=855720&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,,,,,,,,,,,,,,,,,,,,,,,,
collection,stock-magic-the-gathering-flooded-strand-onslaught-ingles-nonfoil,Magic The Gathering,Flooded Strand,Onslaught,Inglés,Non-foil,4.0,60.23,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,68.51,274.04,33.12,113.75,102.0,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,1947,Flooded Strand,single,Magic Single,https://www.cardmarket.com/en/Magic/Products?idProduct=1947&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,english,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Magic/Products?idProduct=1947&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,68.51,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,resolved,1947,ons,316,,,,,,1947,Flooded Strand,102.0,68.51,68.51,https://www.cardmarket.com/en/Magic/Products?idProduct=1947&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,,,,,,,,,,,,,,,,,,,,,,,,
collection,stock-riftbound-arcane-box-set-origins-promos-ingles-foil,Riftbound,Arcane Box Set,Origins: Promos,Inglés,Foil,1.0,237.58,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,144.22,144.22,-93.36,60.7,112.05,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,845721,Origins Booster Box,nonsingle,Riftbound Display,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Origins+Booster+Box,english,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Origins+Booster+Box,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,144.22,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,,,,,resolved,,6286,promo,False,845721,Origins Booster Box,112.05,144.22,144.22,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Origins+Booster+Box,887712,Origins Booster Box (French),110.11,102.14,102.14,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Origins+Booster+Box+%28French%29,848219,Origins: Full Set,104.37,349.0,349.0,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Origins%3A+Full+Set,887714,Origins Case (French),102.27,640.57,640.57,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Origins+Case+%28French%29,862274,"Origins Booster Box (Chinese, Jumbo)",101.69,55.72,55.72,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Origins+Booster+Box+%28Chinese%2C+Jumbo%29
collection,stock-riftbound-worlds-bundle-2025-origins-promos-ingles-foil,Riftbound,Worlds Bundle 2025,Origins: Promos,Inglés,Foil,1.0,236.0,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,144.22,144.22,-91.78,61.11,108.83,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,845721,Origins Booster Box,nonsingle,Riftbound Display,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Origins+Booster+Box,english,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Origins+Booster+Box,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,144.22,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,,,,,resolved,,6286,promo,False,845721,Origins Booster Box,108.83,144.22,144.22,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Origins+Booster+Box,862801,Worlds Bundle 2025,106.53,424.92,424.92,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Worlds+Bundle+2025,848219,Origins: Full Set,100.34,349.0,349.0,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Origins%3A+Full+Set,887714,Origins Case (French),99.37,640.57,640.57,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Origins+Case+%28French%29,887712,Origins Booster Box (French),97.42,102.14,102.14,https://www.cardmarket.com/en/Riftbound/Products/Search?searchString=Origins+Booster+Box+%28French%29
collection,stock-magic-the-gathering-ocelot-pride-modern-horizons-3-extras-japones-nonfoil,Magic The Gathering,Ocelot Pride,Modern Horizons 3: Extras,Japonés,Non-foil,4.0,58.24,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,33.66,134.64,-98.32,57.8,102.0,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,869191,Ocelot Pride,single,Magic Single,https://www.cardmarket.com/en/Magic/Products?idProduct=869191&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,japanese,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Magic/Products?idProduct=869191&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,33.66,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,resolved,869191,mh3,322,,,,,,869191,Ocelot Pride,102.0,33.66,33.66,https://www.cardmarket.com/en/Magic/Products?idProduct=869191&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,,,,,,,,,,,,,,,,,,,,,,,,
collection,stock-magic-the-gathering-fury-modern-horizons-2-extras-ingles-nonfoil,Magic The Gathering,Fury,Modern Horizons 2: Extras,Inglés,Non-foil,4.0,55.92,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,6.07,24.28,-199.4,10.85,102.0,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,566935,Fury,single,Magic Single,https://www.cardmarket.com/en/Magic/Products?idProduct=566935&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,english,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Magic/Products?idProduct=566935&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,6.07,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,resolved,566935,mh2,313,,,,,,566935,Fury,102.0,6.07,6.07,https://www.cardmarket.com/en/Magic/Products?idProduct=566935&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,,,,,,,,,,,,,,,,,,,,,,,,
collection,stock-magic-the-gathering-bloodstained-mire-onslaught-ingles-nonfoil,Magic The Gathering,Bloodstained Mire,Onslaught,Inglés,Non-foil,4.0,53.97,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,47.12,188.48,-27.4,87.31,102.0,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,1944,Bloodstained Mire,single,Magic Single,https://www.cardmarket.com/en/Magic/Products?idProduct=1944&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,english,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Magic/Products?idProduct=1944&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,47.12,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,resolved,1944,ons,313,,,,,,1944,Bloodstained Mire,102.0,47.12,47.12,https://www.cardmarket.com/en/Magic/Products?idProduct=1944&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,,,,,,,,,,,,,,,,,,,,,,,,
collection,stock-magic-the-gathering-force-of-will-alliances-ingles-nonfoil,Magic The Gathering,Force of Will,Alliances,Inglés,Non-foil,4.0,53.23,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,55.7,222.8,9.88,104.64,102.0,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,7894,Force of Will,single,Magic Single,https://www.cardmarket.com/en/Magic/Products?idProduct=7894&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,english,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Magic/Products?idProduct=7894&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,55.7,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,resolved,7894,all,28,,,,,,7894,Force of Will,102.0,55.7,55.7,https://www.cardmarket.com/en/Magic/Products?idProduct=7894&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,,,,,,,,,,,,,,,,,,,,,,,,
collection,stock-magic-the-gathering-phlage-titan-of-fire-s-fury-modern-horizons-3-extras-ingles-nonfoil,Magic The Gathering,"Phlage, Titan of Fire's Fury",Modern Horizons 3: Extras,Inglés,Non-foil,4.0,52.2,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,9.54,38.16,-170.64,18.28,102.0,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,771603,"Phlage, Titan of Fire's Fury",single,Magic Single,https://www.cardmarket.com/en/Magic/Products?idProduct=771603&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,english,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Magic/Products?idProduct=771603&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,9.54,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,resolved,771603,mh3,379,,,,,,771603,"Phlage, Titan of Fire's Fury",102.0,9.54,9.54,https://www.cardmarket.com/en/Magic/Products?idProduct=771603&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,,,,,,,,,,,,,,,,,,,,,,,,
collection,stock-magic-the-gathering-ragavan-nimble-pilferer-modern-horizons-2-extras-ingles-nonfoil,Magic The Gathering,"Ragavan, Nimble Pilferer",Modern Horizons 2: Extras,Inglés,Non-foil,4.0,51.87,scrape_blocked_fallback,Cardmarket Data Tables + Direct Scraping (fallback Data Tables),scrape_fallback,45.38,181.52,-25.96,87.49,102.0,scrape_blocked:HTTP 403: posible bloqueo/challenge;fallback_priceguide,566638,"Ragavan, Nimble Pilferer",single,Magic Single,https://www.cardmarket.com/en/Magic/Products?idProduct=566638&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,english,nm,0,0,0,,0,0,0,,https://www.cardmarket.com/en/Magic/Products?idProduct=566638&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,scrape_blocked,scrape_blocked:HTTP 403: posible bloqueo/challenge,45.38,True,scrape_blocked:HTTP 403: posible bloqueo/challenge,resolved,566638,mh2,315,,,,,,566638,"Ragavan, Nimble Pilferer",102.0,45.38,45.38,https://www.cardmarket.com/en/Magic/Products?idProduct=566638&referrer=scryfall&utm_campaign=card_prices&utm_medium=text&utm_source=scryfall,,,,,,,,,,,,,,,,,,,,,,,,
