sourceRow,id,tcg,name,edition,status,source,url,method,note
1496,stock-magic-the-gathering-swords-to-plowshares-fourth-edition-black-bordered-japones-nonfoil,Magic The Gathering,Swords to Plowshares,Fourth Edition: Black Bordered,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Swords+to+Plowshares&format=image&version=normal&set=4bb,named_exact_image_endpoint,
1225,stock-magic-the-gathering-intuition-tempest-japones-nonfoil,Magic The Gathering,Intuition,Tempest,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Intuition&format=image&version=normal&set=tmp,named_exact_image_endpoint,
3524,stock-magic-the-gathering-solitude-modern-horizons-2-extras-ingles-nonfoil,Magic The Gathering,Solitude,Modern Horizons 2: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Solitude&format=image&version=normal&set=mh2,named_exact_image_endpoint,
2201,stock-magic-the-gathering-endurance-modern-horizons-2-extras-espanol-nonfoil,Magic The Gathering,Endurance,Modern Horizons 2: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Endurance&format=image&version=normal&set=mh2,named_exact_image_endpoint,
3249,stock-magic-the-gathering-force-of-negation-v-1-double-masters-2022-extras-ingles-nonfoil,Magic The Gathering,Force of Negation (V.1),Double Masters 2022: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Force+of+Negation&format=image&version=normal&set=2x2,named_exact_image_endpoint,
1909,stock-magic-the-gathering-scalding-tarn-v-1-modern-horizons-2-extras-ingles-nonfoil,Magic The Gathering,Scalding Tarn (V.1),Modern Horizons 2: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Scalding+Tarn&format=image&version=normal&set=mh2,named_exact_image_endpoint,
1933,stock-magic-the-gathering-misty-rainforest-v-1-modern-horizons-2-extras-ingles-nonfoil,Magic The Gathering,Misty Rainforest (V.1),Modern Horizons 2: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Misty+Rainforest&format=image&version=normal&set=mh2,named_exact_image_endpoint,
885,stock-magic-the-gathering-prismatic-vista-v-1-modern-horizons-retro-frame-cards-ingles-nonfoil,Magic The Gathering,Prismatic Vista (V.1),Modern Horizons: Retro Frame Cards,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Prismatic+Vista&format=image&version=normal&set=mh1,named_exact_image_endpoint,
1807,stock-magic-the-gathering-orcish-bowmasters-the-lord-of-the-rings-tales-of-middle-earth-ingles-nonfoil,Magic The Gathering,Orcish Bowmasters,The Lord of the Rings: Tales of Middle-earth,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Orcish+Bowmasters&format=image&version=normal&set=ltr,named_exact_image_endpoint,
2211,stock-magic-the-gathering-wrenn-and-six-v-1-double-masters-2022-extras-ingles-nonfoil,Magic The Gathering,Wrenn and Six (V.1),Double Masters 2022: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Wrenn+and+Six&format=image&version=normal&set=2x2,named_exact_image_endpoint,
662,stock-riftbound-baited-hook-origins-ingles-nonfoil,Riftbound,Baited Hook,Origins,resolved,scrydex_image_endpoint,https://images.scrydex.com/riftbound/OGN-242/medium,scrydex_code_image_endpoint,
2132,stock-magic-the-gathering-stifle-scourge-japones-nonfoil,Magic The Gathering,Stifle,Scourge,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Stifle&format=image&version=normal,named_exact_image_endpoint,
1740,stock-magic-the-gathering-psychic-frog-v-1-modern-horizons-3-extras-ingles-nonfoil,Magic The Gathering,Psychic Frog (V.1),Modern Horizons 3: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Psychic+Frog&format=image&version=normal&set=mh3,named_exact_image_endpoint,
1151,stock-magic-the-gathering-sephiroth-fabled-soldier-sephiroth-one-winged-angel-v-1-magic-the-gathering-final-fantasy,Magic The Gathering,"Sephiroth, Fabled SOLDIER // Sephiroth, One-Winged Angel (V.1)",Magic: The Gathering - FINAL FANTASY: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Sephiroth%2C+Fabled+SOLDIER+%2F%2F+Sephiroth%2C+One-Winged+Angel&format=image&version=normal&set=fin,named_exact_image_endpoint,
2074,stock-magic-the-gathering-windswept-heath-onslaught-ingles-nonfoil,Magic The Gathering,Windswept Heath,Onslaught,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Windswept+Heath&format=image&version=normal&set=ons,named_exact_image_endpoint,
2136,stock-magic-the-gathering-wasteland-torment-japones-nonfoil,Magic The Gathering,Wasteland,Torment,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Wasteland&format=image&version=normal&set=tor,named_exact_image_endpoint,
984,stock-magic-the-gathering-sea-gate-restoration-sea-gate-reborn-zendikar-rising-ingles-nonfoil,Magic The Gathering,"Sea Gate Restoration // Sea Gate, Reborn",Zendikar Rising,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Sea+Gate+Restoration+%2F%2F+Sea+Gate%2C+Reborn&format=image&version=normal&set=znr,named_exact_image_endpoint,
1758,stock-magic-the-gathering-overlord-of-the-balemurk-v-2-duskmourn-house-of-horror-extras-ingles-nonfoil,Magic The Gathering,Overlord of the Balemurk (V.2),Duskmourn: House of Horror: Extras,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Overlord+of+the+Balemurk&format=image&version=normal&set=dsk,named_exact_image_endpoint,
849,stock-magic-the-gathering-stoneforge-mystic-worldwake-ingles-nonfoil,Magic The Gathering,Stoneforge Mystic,Worldwake,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Stoneforge+Mystic&format=image&version=normal&set=wwk,named_exact_image_endpoint,
1741,stock-magic-the-gathering-tamiyo-inquisitive-student-tamiyo-seasoned-scholar-v-1-march-of-the-machine-the-aftermath,Magic The Gathering,"Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar (V.1)",March of the Machine: The Aftermath,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Tamiyo%2C+Inquisitive+Student+%2F%2F+Tamiyo%2C+Seasoned+Scholar&format=image&version=normal&set=mat,named_exact_image_endpoint,
3581,stock-magic-the-gathering-urza-s-saga-modern-horizons-2-ingles-nonfoil,Magic The Gathering,Urza's Saga,Modern Horizons 2,resolved,scryfall_image_endpoint,https://api.scryfall.com/cards/named?exact=Urza%27s+Saga&format=image&version=normal&set=mh2,named_exact_image_endpoint,
