sourceRow,cardName,edition,tcg,language,quantity,saleValue,status,method,matchedGroupId,matchedName,matchedEdition,matchedLanguage,matchedQuantity,note
136,"Squee, Goblin Nabob",Mercadian Masques,Magic The Gathering,Japonés,1.0,15.0,matched,flexible_name_only,stock-magic-the-gathering-squee-goblin-nabob-commander-2019-ingles-nonfoil,"Squee, Goblin Nabob",Commander 2019,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
131,Pernicious Deed,Apocalypse,Magic The Gathering,Japonés,4.0,39.8,overdrawn,exact,stock-magic-the-gathering-pernicious-deed-apocalypse-japones-nonfoil,Pernicious Deed,Apocalypse,Japonés,1.0,Coincidencia exacta por TCG + nombre + edición + idioma + variante.
236,"Ral, Crackling Wit",Bloomburrow,Magic The Gathering,Español,1.0,7.28,matched,flexible_name_only,stock-magic-the-gathering-ral-crackling-wit-bloomburrow-extras-japones-nonfoil,"Ral, Crackling Wit",Bloomburrow: Extras,Japonés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
17,Ravenous Baloth,Onslaught,Magic The Gathering,Japonés,4.0,68.0,unmatched,unmatched,,,,,,No se encontró compra compatible.
129,Haunting Echoes,Odyssey,Magic The Gathering,Japonés,2.0,16.0,unmatched,unmatched,,,,,,No se encontró compra compatible.
374,Spiritmonger,Apocalypse,Magic The Gathering,Japonés,1.0,3.0,unmatched,unmatched,,,,,,No se encontró compra compatible.
455,Opt,Invasion,Magic The Gathering,Chino,3.0,1.5,matched,flexible_name_only,stock-magic-the-gathering-opt-dominaria-espanol-nonfoil,Opt,Dominaria,Español,3.0,Coincidencia flexible por TCG + nombre; revisar edición.
498,Opt,Invasion,Magic The Gathering,Japonés,1.0,1.0,matched,flexible_name_only,stock-magic-the-gathering-opt-dominaria-espanol-nonfoil,Opt,Dominaria,Español,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
183,Voice of Victory,Tarkir: Dragonstorm: Promos,Magic The Gathering,Inglés,1.0,10.83,matched,flexible_name_only,stock-magic-the-gathering-voice-of-victory-tarkir-dragonstorm-ingles-nonfoil,Voice of Victory,Tarkir: Dragonstorm,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
343,"Savra, Queen of the Golgari",Ravnica Remastered: Extras,Magic The Gathering,Inglés,1.0,3.4,unmatched,unmatched,,,,,,No se encontró compra compatible.
542,Jukai Naturalist,Kamigawa: Neon Dynasty,Magic The Gathering,Inglés,1.0,0.43,unmatched,unmatched,,,,,,No se encontró compra compatible.
188,Consult the Star Charts,Edge of Eternities: Promos,Magic The Gathering,Inglés,1.0,10.4,matched,flexible_name_only,stock-magic-the-gathering-consult-the-star-charts-edge-of-eternities-ingles-nonfoil,Consult the Star Charts,Edge of Eternities,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
121,"Ketramose, the New Dawn",Aetherdrift,Magic The Gathering,Inglés,1.0,16.78,matched,flexible_name_only,stock-magic-the-gathering-ketramose-the-new-dawn-aetherdrift-extras-ingles-nonfoil,"Ketramose, the New Dawn",Aetherdrift: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
360,Forsaken Monument,Zendikar Rising: Promos,Magic The Gathering,Inglés,1.0,3.28,unmatched,unmatched,,,,,,No se encontró compra compatible.
268,Mistrise Village,Tarkir: Dragonstorm: Promos,Magic The Gathering,Inglés,1.0,6.28,matched,flexible_name_only,stock-magic-the-gathering-mistrise-village-tarkir-dragonstorm-extras-ingles-nonfoil,Mistrise Village,Tarkir: Dragonstorm: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
530,"Kastral, the Windcrested",Bloomburrow: Promos,Magic The Gathering,Inglés,1.0,0.56,unmatched,unmatched,,,,,,No se encontró compra compatible.
563,Bringer of the Last Gift,The Lost Caverns of Ixalan: Promos,Magic The Gathering,Inglés,1.0,0.28,unmatched,unmatched,,,,,,No se encontró compra compatible.
177,Tormod's Crypt,Chronicles: Japanese,Magic The Gathering,Japonés,1.0,11.28,matched,flexible_name_only,stock-magic-the-gathering-tormod-s-crypt-core-2021-ingles-nonfoil,Tormod's Crypt,Core 2021,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
148,Jackal Pup,Tempest,Magic The Gathering,Japonés,3.0,13.18,unmatched,unmatched,,,,,,No se encontró compra compatible.
95,Cunning Wish,Judgment,Magic The Gathering,Inglés,4.0,20.93,unmatched,unmatched,,,,,,No se encontró compra compatible.
386,Counterspell,Mercadian Masques,Magic The Gathering,Japonés,1.0,2.62,matched,flexible_name_only_multiple,stock-magic-the-gathering-counterspell-release-promos-ingles-nonfoil,Counterspell,Release Promos,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
272,Path to Exile,Conflux,Magic The Gathering,Inglés,4.0,6.25,matched,flexible_name_only,stock-magic-the-gathering-path-to-exile-time-spiral-remastered-extras-ingles-nonfoil,Path to Exile,Time Spiral Remastered: Extras,Inglés,4.0,Coincidencia flexible por TCG + nombre; revisar edición.
414,Bloated Contaminator,Phyrexia: All Will Be One,Magic The Gathering,Inglés,1.0,2.28,unmatched,unmatched,,,,,,No se encontró compra compatible.
513,Past in Flames,Innistrad,Magic The Gathering,Inglés,1.0,0.69,matched,flexible_name_only,stock-magic-the-gathering-past-in-flames-time-spiral-remastered-extras-ingles-nonfoil,Past in Flames,Time Spiral Remastered: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
117,Exhume,Urza's Saga,Magic The Gathering,Japonés,4.0,17.13,unmatched,unmatched,,,,,,No se encontró compra compatible.
358,"Yuriko, the Tiger's Shadow",Magic: The Gathering - FINAL FANTASY: Extras,Magic The Gathering,Inglés,1.0,3.28,unmatched,unmatched,,,,,,No se encontró compra compatible.
357,Wonder,Judgment,Magic The Gathering,Chino-S,1.0,3.28,unmatched,unmatched,,,,,,No se encontró compra compatible.
302,Accumulated Knowledge,Nemesis,Magic The Gathering,Inglés,4.0,5.13,overdrawn,flexible_ignore_language_variant,stock-magic-the-gathering-accumulated-knowledge-nemesis-japones-nonfoil,Accumulated Knowledge,Nemesis,Japonés,3.0,Coincidencia flexible ignorando idioma y variante.
388,Preacher of the Schism,The Lost Caverns of Ixalan: Promos,Magic The Gathering,Inglés,1.0,2.62,matched,flexible_name_only,stock-magic-the-gathering-preacher-of-the-schism-the-lost-caverns-of-ixalan-ingles-nonfoil,Preacher of the Schism,The Lost Caverns of Ixalan,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
413,Teysa Karlov,Multiverse Legends,Magic The Gathering,Inglés,1.0,2.28,unmatched,unmatched,,,,,,No se encontró compra compatible.
538,Remand,Ravnica: City of Guilds,Magic The Gathering,Alemán,2.0,0.52,matched,flexible_name_only,stock-magic-the-gathering-remand-time-spiral-remastered-extras-ingles-nonfoil,Remand,Time Spiral Remastered: Extras,Inglés,2.0,Coincidencia flexible por TCG + nombre; revisar edición.
539,Remand,Ravnica: City of Guilds,Magic The Gathering,Español,1.0,0.52,matched,flexible_name_only,stock-magic-the-gathering-remand-time-spiral-remastered-extras-ingles-nonfoil,Remand,Time Spiral Remastered: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
540,Remand,Ravnica: City of Guilds,Magic The Gathering,Francés,1.0,0.52,matched,flexible_name_only,stock-magic-the-gathering-remand-time-spiral-remastered-extras-ingles-nonfoil,Remand,Time Spiral Remastered: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
322,Wrenn and Realmbreaker,March of the Machine: Promos,Magic The Gathering,Inglés,1.0,4.4,unmatched,unmatched,,,,,,No se encontró compra compatible.
181,Simic Growth Chamber,Sin edición especificada,Magic The Gathering,Japonés,4.0,11.0,matched,flexible_name_only_multiple,stock-magic-the-gathering-simic-growth-chamber-double-masters-2022-extras-japones-nonfoil,Simic Growth Chamber,Double Masters 2022: Extras,Japonés,4.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
356,Profane Tutor,Modern Horizons 2,Magic The Gathering,Español,1.0,3.28,unmatched,unmatched,,,,,,No se encontró compra compatible.
363,Ancient Den,Mirrodin,Magic The Gathering,Español,2.0,3.23,matched,flexible_name_only,stock-magic-the-gathering-ancient-den-time-spiral-remastered-extras-japones-nonfoil,Ancient Den,Time Spiral Remastered: Extras,Japonés,2.0,Coincidencia flexible por TCG + nombre; revisar edición.
483,"Sin, Spira's Punishment",Magic: The Gathering - FINAL FANTASY: Extras,Magic The Gathering,Inglés,1.0,1.11,unmatched,unmatched,,,,,,No se encontró compra compatible.
283,"Raffine, Scheming Seer",Streets of New Capenna: Extras,Magic The Gathering,Inglés,1.0,5.79,matched,flexible_name_only,stock-magic-the-gathering-raffine-scheming-seer-streets-of-new-capenna-promos-ingles-nonfoil,"Raffine, Scheming Seer",Streets of New Capenna: Promos,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
462,"Tourach, Dread Cantor",Modern Horizons 2,Magic The Gathering,Inglés,1.0,1.38,matched,flexible_name_only,stock-magic-the-gathering-tourach-dread-cantor-modern-horizons-2-extras-japones-foil,"Tourach, Dread Cantor",Modern Horizons 2: Extras,Japonés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
548,Collective Brutality,Innistrad Remastered,Magic The Gathering,Inglés,1.0,0.36,matched,flexible_name_only,stock-magic-the-gathering-collective-brutality-mystery-booster-ingles-nonfoil,Collective Brutality,Mystery Booster,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
355,Hullbreaker Horror,Innistrad: Crimson Vow,Magic The Gathering,Español,1.0,3.28,unmatched,unmatched,,,,,,No se encontró compra compatible.
313,Goblin Guide,Zendikar,Magic The Gathering,Italiano,4.0,4.45,unmatched,unmatched,,,,,,No se encontró compra compatible.
435,Goro-Goro and Satoru,Commander: March of the Machine: Ext,Magic The Gathering,Inglés,1.0,1.83,unmatched,unmatched,,,,,,No se encontró compra compatible.
354,"Skrelv, Defector Mite",Phyrexia: All Will Be One,Magic The Gathering,Inglés,1.0,3.28,unmatched,unmatched,,,,,,No se encontró compra compatible.
306,Soul's Attendant,Rise of the Eldrazi,Magic The Gathering,Francés,1.0,4.95,unmatched,unmatched,,,,,,No se encontró compra compatible.
367,Annie Joins Up,Outlaws of Thunder Junction: Promos,Magic The Gathering,Inglés,1.0,3.18,unmatched,unmatched,,,,,,No se encontró compra compatible.
373,Soul's Attendant,Rise of the Eldrazi,Magic The Gathering,Chino-S,1.0,3.11,unmatched,unmatched,,,,,,No se encontró compra compatible.
422,Cragcrown Pathway // Timbercrown Pathway,Zendikar Rising,Magic The Gathering,Inglés,1.0,2.1,unmatched,unmatched,,,,,,No se encontró compra compatible.
535,Opt,Invasion,Magic The Gathering,Inglés,1.0,0.54,overdrawn,flexible_name_only,stock-magic-the-gathering-opt-dominaria-espanol-nonfoil,Opt,Dominaria,Español,0.0,Coincidencia flexible por TCG + nombre; revisar edición.
453,"Marvin, Murderous Mimic",Duskmourn: House of Horror: Promo,Magic The Gathering,Inglés,1.0,1.58,unmatched,unmatched,,,,,,No se encontró compra compatible.
320,Brainsurge,Modern Horizons 3: Extras,Magic The Gathering,Japonés,1.0,4.4,matched,flexible_ignore_foil,stock-magic-the-gathering-brainsurge-modern-horizons-3-extras-japones-foil,Brainsurge,Modern Horizons 3: Extras,Japonés,1.0,Coincidencia flexible ignorando Foil/Non-foil.
206,Watery Grave,Edge of Eternities: Promos,Magic The Gathering,Inglés,1.0,9.2,matched,flexible_name_only,stock-magic-the-gathering-watery-grave-guilds-of-ravnica-espanol-nonfoil,Watery Grave,Guilds of Ravnica,Español,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
527,Forensic Gadgeteer,Murders at Karlov Manor: Promos,Magic The Gathering,Inglés,1.0,0.58,unmatched,unmatched,,,,,,No se encontró compra compatible.
461,Fulminator Mage,Double Masters,Magic The Gathering,Inglés,1.0,1.39,matched,flexible_name_only,stock-magic-the-gathering-fulminator-mage-ultimate-masters-ingles-nonfoil,Fulminator Mage,Ultimate Masters,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
314,Freed from the Real,Saviors of Kamigawa,Magic The Gathering,Español,1.0,4.43,unmatched,unmatched,,,,,,No se encontró compra compatible.
280,Psychatog,Odyssey,Magic The Gathering,Español,1.0,5.9,unmatched,unmatched,,,,,,No se encontró compra compatible.
507,Thraben Inspector,Shadows over Innistrad,Magic The Gathering,Japonés,4.0,0.79,matched,flexible_name_only_multiple,stock-magic-the-gathering-thraben-inspector-time-spiral-remastered-extras-japones-nonfoil,Thraben Inspector,Time Spiral Remastered: Extras,Japonés,4.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
509,Elephant Grass,The List,Magic The Gathering,Inglés,1.0,0.73,unmatched,unmatched,,,,,,No se encontró compra compatible.
546,Nightscape Familiar,Planeshift,Magic The Gathering,Japonés,4.0,0.36,unmatched,unmatched,,,,,,No se encontró compra compatible.
262,Psychatog,Odyssey,Magic The Gathering,Español,1.0,6.4,unmatched,unmatched,,,,,,No se encontró compra compatible.
404,Urza's Mine,Chronicles,Magic The Gathering,Inglés,1.0,2.4,matched,flexible_name_only_multiple,stock-magic-the-gathering-urza-s-mine-chronicles-japanese-japones-nonfoil,Urza's Mine,Chronicles: Japanese,Japonés,1.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
463,Oblivion Stone,Commander,Magic The Gathering,Español,2.0,1.3,matched,flexible_name_only,stock-magic-the-gathering-oblivion-stone-commander-the-brothers-war-ingles-nonfoil,Oblivion Stone,Commander: The Brothers' War,Inglés,2.0,Coincidencia flexible por TCG + nombre; revisar edición.
430,Aftermath Analyst,Murders at Karlov Manor,Magic The Gathering,Inglés,1.0,1.9,matched,flexible_ignore_language_variant,stock-magic-the-gathering-aftermath-analyst-murders-at-karlov-manor-japones-nonfoil,Aftermath Analyst,Murders at Karlov Manor,Japonés,1.0,Coincidencia flexible ignorando idioma y variante.
497,"Koma, World-Eater",Magic: The Gathering Foundations: Promo,Magic The Gathering,Inglés,1.0,1.0,unmatched,unmatched,,,,,,No se encontró compra compatible.
474,Meddling Mage,Double Masters,Magic The Gathering,Inglés,1.0,1.19,unmatched,unmatched,,,,,,No se encontró compra compatible.
475,Searing Blaze,Worldwake,Magic The Gathering,Inglés,1.0,1.19,unmatched,unmatched,,,,,,No se encontró compra compatible.
476,Searing Blaze,Worldwake,Magic The Gathering,Alemán,1.0,1.19,unmatched,unmatched,,,,,,No se encontró compra compatible.
477,Lightning Bolt,Magic 2011,Magic The Gathering,Francés,4.0,1.19,matched,flexible_name_only_multiple,stock-magic-the-gathering-lightning-bolt-fourth-edition-black-bordered-japones-nonfoil,Lightning Bolt,Fourth Edition: Black Bordered,Japonés,4.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
518,Capsize,Tempest,Magic The Gathering,Inglés,1.0,0.62,unmatched,unmatched,,,,,,No se encontró compra compatible.
342,"Squee, Goblin Nabob",Commander 2019,Magic The Gathering,Inglés,4.0,3.45,overdrawn,exact,stock-magic-the-gathering-squee-goblin-nabob-commander-2019-ingles-nonfoil,"Squee, Goblin Nabob",Commander 2019,Inglés,3.0,Coincidencia exacta por TCG + nombre + edición + idioma + variante.
403,Smile at Death,Tarkir: Dragonstorm: Promos,Magic The Gathering,Inglés,1.0,2.4,unmatched,unmatched,,,,,,No se encontró compra compatible.
376,Soul Warden,Magic 2010,Magic The Gathering,Inglés,1.0,2.9,unmatched,unmatched,,,,,,No se encontró compra compatible.
407,Frenzied Baloth,Edge of Eternities: Promos,Magic The Gathering,Inglés,1.0,2.36,unmatched,unmatched,,,,,,No se encontró compra compatible.
520,Arcane Proxy,The Brothers' War,Magic The Gathering,Español,1.0,0.61,unmatched,unmatched,,,,,,No se encontró compra compatible.
521,Leyline of the Void,Core 2020,Magic The Gathering,Español,1.0,0.61,matched,flexible_name_only_multiple,stock-magic-the-gathering-leyline-of-the-void-time-spiral-remastered-extras-ingles-nonfoil,Leyline of the Void,Time Spiral Remastered: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
312,Seal of Cleansing,Nemesis,Magic The Gathering,Japonés,2.0,4.45,overdrawn,exact,stock-magic-the-gathering-seal-of-cleansing-nemesis-japones-nonfoil,Seal of Cleansing,Nemesis,Japonés,1.0,Coincidencia exacta por TCG + nombre + edición + idioma + variante.
402,Aftermath Analyst,Murders at Karlov Manor,Magic The Gathering,Español,1.0,2.4,matched,flexible_ignore_language_variant,stock-magic-the-gathering-aftermath-analyst-murders-at-karlov-manor-japones-nonfoil,Aftermath Analyst,Murders at Karlov Manor,Japonés,1.0,Coincidencia flexible ignorando idioma y variante.
335,Worldwalker Helm,Edge of Eternities: Promos,Magic The Gathering,Inglés,1.0,4.02,unmatched,unmatched,,,,,,No se encontró compra compatible.
550,"Ezuri, Stalker of Spheres",Phyrexia: All Will Be One,Magic The Gathering,Inglés,1.0,0.34,unmatched,unmatched,,,,,,No se encontró compra compatible.
318,Genesis,Judgment,Magic The Gathering,Español,1.0,4.4,unmatched,unmatched,,,,,,No se encontró compra compatible.
286,Insatiable Avarice,Outlaws of Thunder Junction,Magic The Gathering,Inglés,1.0,5.4,unmatched,unmatched,,,,,,No se encontró compra compatible.
159,Darkslick Shores,Phyrexia: All Will Be One,Magic The Gathering,Inglés,4.0,12.25,overdrawn,exact,stock-magic-the-gathering-darkslick-shores-phyrexia-all-will-be-one-ingles-nonfoil,Darkslick Shores,Phyrexia: All Will Be One,Inglés,3.0,Coincidencia exacta por TCG + nombre + edición + idioma + variante.
91,Caves of Koilos,Apocalypse,Magic The Gathering,Chino-S,2.0,21.35,matched,flexible_ignore_language_variant,stock-magic-the-gathering-caves-of-koilos-apocalypse-japones-nonfoil,Caves of Koilos,Apocalypse,Japonés,2.0,Coincidencia flexible ignorando idioma y variante.
307,"Raffine, Scheming Seer",Streets of New Capenna: Extras,Magic The Gathering,Inglés,1.0,4.85,matched,flexible_name_only,stock-magic-the-gathering-raffine-scheming-seer-streets-of-new-capenna-promos-ingles-nonfoil,"Raffine, Scheming Seer",Streets of New Capenna: Promos,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
552,"Glissa, Herald of Predation",March of the Machine: Extras,Magic The Gathering,Inglés,1.0,0.3,unmatched,unmatched,,,,,,No se encontró compra compatible.
553,Phyrexian Unlife,Enchanting Tales,Magic The Gathering,Inglés,1.0,0.3,matched,flexible_name_only,stock-magic-the-gathering-phyrexian-unlife-new-phyrexia-chino-s-nonfoil,Phyrexian Unlife,New Phyrexia,Chino-S,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
279,Insatiable Avarice,Outlaws of Thunder Junction,Magic The Gathering,Inglés,3.0,5.95,unmatched,unmatched,,,,,,No se encontró compra compatible.
480,Ultima,FINAL FANTASY,Magic The Gathering,Inglés,1.0,1.14,matched,flexible_name_only,stock-magic-the-gathering-ultima-magic-the-gathering-final-fantasy-extras-ingles-nonfoil,Ultima,Magic: The Gathering - FINAL FANTASY: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
190,Decree of Silence,Scourge,Magic The Gathering,Español,1.0,10.4,unmatched,unmatched,,,,,,No se encontró compra compatible.
263,Tide Shaper,Modern Horizons 2: Extras,Magic The Gathering,Japonés,4.0,6.4,overdrawn,flexible_ignore_foil,stock-magic-the-gathering-tide-shaper-modern-horizons-2-extras-japones-foil,Tide Shaper,Modern Horizons 2: Extras,Japonés,2.0,Coincidencia flexible ignorando Foil/Non-foil.
504,Essence Flux,Shadows over Innistrad,Magic The Gathering,Inglés,2.0,0.82,matched,flexible_ignore_language_variant,stock-magic-the-gathering-essence-flux-shadows-over-innistrad-espanol-nonfoil,Essence Flux,Shadows over Innistrad,Español,2.0,Coincidencia flexible ignorando idioma y variante.
543,Essence Flux,Innistrad Remastered,Magic The Gathering,Inglés,1.0,0.41,matched,flexible_name_only_multiple,stock-magic-the-gathering-essence-flux-innistrad-remastered-extras-ingles-nonfoil,Essence Flux,Innistrad Remastered: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
317,Siege-Gang Commander,Scourge,Magic The Gathering,Español,1.0,4.4,matched,flexible_name_only_multiple,stock-magic-the-gathering-siege-gang-commander-core-2020-extras-espanol-nonfoil,Siege-Gang Commander,Core 2020: Extras,Español,1.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
352,Archangel Elspeth,March of the Machine: Extras,Magic The Gathering,Inglés,1.0,3.29,unmatched,unmatched,,,,,,No se encontró compra compatible.
353,Questing Beast,The List,Magic The Gathering,Inglés,1.0,3.29,unmatched,unmatched,,,,,,No se encontró compra compatible.
450,Soul Warden,Magic 2010,Magic The Gathering,Inglés,2.0,1.62,unmatched,unmatched,,,,,,No se encontró compra compatible.
493,"Heliod, the Radiant Dawn // Heliod, the Warped Eclipse",March of the Machine: The Aftermath,Magic The Gathering,Inglés,1.0,1.06,unmatched,unmatched,,,,,,No se encontró compra compatible.
494,Death Cloud,The List,Magic The Gathering,Inglés,1.0,1.06,unmatched,unmatched,,,,,,No se encontró compra compatible.
495,"Lindblum, Industrial Regency // Mage Siege",FINAL FANTASY,Magic The Gathering,Inglés,1.0,1.06,unmatched,unmatched,,,,,,No se encontró compra compatible.
561,Marauding Mako,Aetherdrift: Promos,Magic The Gathering,Inglés,1.0,0.28,matched,flexible_name_only,stock-magic-the-gathering-marauding-mako-aetherdrift-ingles-nonfoil,Marauding Mako,Aetherdrift,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
562,Roaring Furnace // Steaming Sauna,Duskmourn: House of Horror,Magic The Gathering,Inglés,1.0,0.28,matched,flexible_name_only,stock-magic-the-gathering-roaring-furnace-steaming-sauna-duskmourn-house-of-horror-extras-ingles-nonfoil,Roaring Furnace // Steaming Sauna,Duskmourn: House of Horror: Extras,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
377,"Skrelv, Defector Mite",Phyrexia: All Will Be One,Magic The Gathering,Inglés,2.0,2.9,unmatched,unmatched,,,,,,No se encontró compra compatible.
347,Urza's Mine,Chronicles,Magic The Gathering,Inglés,2.0,3.35,matched,flexible_name_only_multiple,stock-magic-the-gathering-urza-s-mine-chronicles-japanese-japones-nonfoil,Urza's Mine,Chronicles: Japanese,Japonés,2.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
285,Genesis,Judgment,Magic The Gathering,Inglés,1.0,5.4,unmatched,unmatched,,,,,,No se encontró compra compatible.
240,Soul's Attendant,Rise of the Eldrazi,Magic The Gathering,Chino-S,2.0,7.23,unmatched,unmatched,,,,,,No se encontró compra compatible.
444,Umbral Collar Zealot,Edge of Eternities: Promos,Magic The Gathering,Inglés,1.0,1.7,unmatched,unmatched,,,,,,No se encontró compra compatible.
443,"Brimaz, Blight of Oreskos",Commander: March of the Machine,Magic The Gathering,Inglés,1.0,1.7,unmatched,unmatched,,,,,,No se encontró compra compatible.
311,Brainsurge,Modern Horizons 3: Extras,Magic The Gathering,Japonés,1.0,4.55,matched,flexible_ignore_foil,stock-magic-the-gathering-brainsurge-modern-horizons-3-extras-japones-foil,Brainsurge,Modern Horizons 3: Extras,Japonés,1.0,Coincidencia flexible ignorando Foil/Non-foil.
11,Snapcaster Mage,Innistrad Remastered: Extras,Magic The Gathering,Japonés,4.0,87.84,matched,flexible_name_only_multiple,stock-magic-the-gathering-snapcaster-mage-innistrad-remastered-japones-nonfoil,Snapcaster Mage,Innistrad Remastered,Japonés,4.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
