sourceRow,cardName,edition,tcg,language,quantity,saleValue,status,method,matchedGroupId,matchedName,matchedEdition,matchedLanguage,matchedQuantity,note
396,Curly.Dadan (OP02-005),Paramount War,One Piece,Inglés,1.0,2.46,unmatched,unmatched,,,,,,No se encontró compra compatible.
459,Ice Age (OP02-117),Paramount War,One Piece,Inglés,2.0,1.4,unmatched,unmatched,,,,,,No se encontró compra compatible.
182,Steam Vents,Return to Ravnica,Magic The Gathering,Español,1.0,10.86,matched,flexible_name_only_multiple,stock-magic-the-gathering-steam-vents-ravnica-remastered-ingles-nonfoil,Steam Vents,Ravnica Remastered,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
205,Hallowed Fountain,Return to Ravnica,Magic The Gathering,Español,1.0,9.21,matched,flexible_name_only,stock-magic-the-gathering-hallowed-fountain-dissension-espanol-nonfoil,Hallowed Fountain,Dissension,Español,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
158,Necroduality,Innistrad: Crimson Vow,Magic The Gathering,Inglés,1.0,12.29,unmatched,unmatched,,,,,,No se encontró compra compatible.
204,Hallowed Fountain,Ravnica Allegiance,Magic The Gathering,Español,1.0,9.21,matched,flexible_name_only,stock-magic-the-gathering-hallowed-fountain-dissension-espanol-nonfoil,Hallowed Fountain,Dissension,Español,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
289,"Zopandrel, Hunger Dominus",Phyrexia: All Will Be One,Magic The Gathering,Inglés,1.0,5.29,unmatched,unmatched,,,,,,No se encontró compra compatible.
160,Jetmir's Garden,Streets of New Capenna: Promos,Magic The Gathering,Español,1.0,12.21,unmatched,unmatched,,,,,,No se encontró compra compatible.
442,Swiftfoot Boots,Retro Frame Artifacts,Magic The Gathering,Español,1.0,1.72,unmatched,unmatched,,,,,,No se encontró compra compatible.
114,Living End,Time Spiral,Magic The Gathering,Alemán,3.0,17.27,matched,flexible_name_only,stock-magic-the-gathering-living-end-time-spiral-remastered-ingles-nonfoil,Living End,Time Spiral Remastered,Inglés,3.0,Coincidencia flexible por TCG + nombre; revisar edición.
173,Steam Vents,Return to Ravnica,Magic The Gathering,Inglés,1.0,11.71,matched,flexible_name_only_multiple,stock-magic-the-gathering-steam-vents-ravnica-remastered-ingles-nonfoil,Steam Vents,Ravnica Remastered,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
424,Demolition Field,The Brothers' War,Magic The Gathering,Español,1.0,2.02,unmatched,unmatched,,,,,,No se encontró compra compatible.
127,Stomping Ground,Ravnica Remastered: Extras,Magic The Gathering,Inglés,1.0,16.17,matched,flexible_name_only_multiple,stock-magic-the-gathering-stomping-ground-gatecrash-ingles-nonfoil,Stomping Ground,Gatecrash,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición. Había varias candidatas y se eligió la de mayor stock disponible.
274,Plaza of Heroes,Dominaria United: Promos,Magic The Gathering,Inglés,1.0,6.21,matched,flexible_name_only,stock-magic-the-gathering-plaza-of-heroes-dominaria-united-ingles-nonfoil,Plaza of Heroes,Dominaria United,Inglés,1.0,Coincidencia flexible por TCG + nombre; revisar edición.
441,Archfiend of the Dross,Phyrexia: All Will Be One,Magic The Gathering,Inglés,1.0,1.72,unmatched,unmatched,,,,,,No se encontró compra compatible.
243,Plaza of Heroes,Dominaria United,Magic The Gathering,Inglés,1.0,7.21,overdrawn,exact,stock-magic-the-gathering-plaza-of-heroes-dominaria-united-ingles-nonfoil,Plaza of Heroes,Dominaria United,Inglés,0.0,Coincidencia exacta por TCG + nombre + edición + idioma + variante.
440,Blind Obedience,Ravnica Remastered,Magic The Gathering,Inglés,1.0,1.72,unmatched,unmatched,,,,,,No se encontró compra compatible.
116,Relic of Progenitus,Shards of Alara,Magic The Gathering,Italiano,3.0,17.15,matched,flexible_name_only,stock-magic-the-gathering-relic-of-progenitus-commander-the-brothers-war-ingles-nonfoil,Relic of Progenitus,Commander: The Brothers' War,Inglés,3.0,Coincidencia flexible por TCG + nombre; revisar edición.
223,Gitaxian Probe,New Phyrexia,Magic The Gathering,Inglés,4.0,8.25,matched,flexible_ignore_language_variant,stock-magic-the-gathering-gitaxian-probe-new-phyrexia-japones-nonfoil,Gitaxian Probe,New Phyrexia,Japonés,4.0,Coincidencia flexible ignorando idioma y variante.
